customerName,contactFirstName,contactLastName,phone,addressLine1,addressLine2,city,state,postalCode,country,orderDate,status,productCode,quantityOrdered,priceEach,productName,productDescription,quantityInStock,buyPrice,categoryDescription
"Atelier graphique","Carine ",Schmitt,40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,2003-05-20,Shipped,S18_1589,26,120.71,"1965 Aston Martin DB5","Die-cast model of the silver 1965 Aston Martin DB5 in silver. This model includes full wire wheels and doors that open with fully detailed passenger compartment. In 1:18 scale, this model measures approximately 10 inches/20 cm long.",9042,65.96,"Attention car enthusiasts: Make your wildest car ownership dreams come true. Whether you are looking for classic muscle cars, dream sports cars or movie-inspired miniatures, you will find great choices in this category. These replicas feature superb attention to detail and craftsmanship and offer features such as working steering system, opening forward compartment, opening rear trunk with removable spare wheel, 4-wheel independent spring suspension, and so on. The models range in size from 1:10 to 1:24 scale and include numerous limited edition and several out-of-production vehicles. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office."
"Atelier graphique","Carine ",Schmitt,40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,2003-05-20,Shipped,S18_2870,46,114.84,"1999 Indy 500 Monte Carlo SS","Features include opening and closing doors. Color: Red",8164,56.76,"Attention car enthusiasts: Make your wildest car ownership dreams come true. Whether you are looking for classic muscle cars, dream sports cars or movie-inspired miniatures, you will find great choices in this category. These replicas feature superb attention to detail and craftsmanship and offer features such as working steering system, opening forward compartment, opening rear trunk with removable spare wheel, 4-wheel independent spring suspension, and so on. The models range in size from 1:10 to 1:24 scale and include numerous limited edition and several out-of-production vehicles. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office."
"Atelier graphique","Carine ",Schmitt,40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,2003-05-20,Shipped,S18_3685,34,117.26,"1948 Porsche Type 356 Roadster","This model features working front and rear suspension on accurately replicated and actuating shock absorbers as well as opening engine cover, rear stabilizer flap,  and 4 opening doors.",8990,62.16,"Attention car enthusiasts: Make your wildest car ownership dreams come true. Whether you are looking for classic muscle cars, dream sports cars or movie-inspired miniatures, you will find great choices in this category. These replicas feature superb attention to detail and craftsmanship and offer features such as working steering system, opening forward compartment, opening rear trunk with removable spare wheel, 4-wheel independent spring suspension, and so on. The models range in size from 1:10 to 1:24 scale and include numerous limited edition and several out-of-production vehicles. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office."
"Atelier graphique","Carine ",Schmitt,40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,2003-05-20,Shipped,S24_1628,50,43.27,"1966 Shelby Cobra 427 S/C","This diecast model of the 1966 Shelby Cobra 427 S/C includes many authentic details and operating parts. The 1:24 scale model of this iconic lighweight sports car from the 1960s comes in silver and it's own display case.",8197,29.18,"Attention car enthusiasts: Make your wildest car ownership dreams come true. Whether you are looking for classic muscle cars, dream sports cars or movie-inspired miniatures, you will find great choices in this category. These replicas feature superb attention to detail and craftsmanship and offer features such as working steering system, opening forward compartment, opening rear trunk with removable spare wheel, 4-wheel independent spring suspension, and so on. The models range in size from 1:10 to 1:24 scale and include numerous limited edition and several out-of-production vehicles. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office."
"Atelier graphique","Carine ",Schmitt,40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,2004-09-27,Shipped,S10_2016,39,105.86,"1996 Moto Guzzi 1100i","Official Moto Guzzi logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.",6625,68.99,"Our motorcycles are state of the art replicas of classic as well as contemporary motorcycle legends such as Harley Davidson, Ducati and Vespa. Models contain stunning details such as official logos, rotating wheels, working kickstand, front suspension, gear-shift lever, footbrake lever, and drive chain. Materials used include diecast and plastic. The models range in size from 1:10 to 1:50 scale and include numerous limited edition and several out-of-production vehicles. All models come fully assembled and ready for display in the home or office. Most include a certificate of authenticity."
"Atelier graphique","Carine ",Schmitt,40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,2004-09-27,Shipped,S18_2625,32,60.57,"1936 Harley Davidson El Knucklehead","Intricately detailed with chrome accents and trim, official die-struck logos and baked enamel finish.",4357,24.23,"Our motorcycles are state of the art replicas of classic as well as contemporary motorcycle legends such as Harley Davidson, Ducati and Vespa. Models contain stunning details such as official logos, rotating wheels, working kickstand, front suspension, gear-shift lever, footbrake lever, and drive chain. Materials used include diecast and plastic. The models range in size from 1:10 to 1:50 scale and include numerous limited edition and several out-of-production vehicles. All models come fully assembled and ready for display in the home or office. Most include a certificate of authenticity."
"Atelier graphique","Carine ",Schmitt,40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,2004-11-25,Shipped,S24_2022,43,38.98,"1938 Cadillac V-16 Presidential Limousine","This 1:24 scale precision die cast replica of the 1938 Cadillac V-16 Presidential Limousine has all the details of the original, from the flags on the front to an opening back seat compartment complete with telephone and rifle. Features factory baked-enamel black finish, hood goddess ornament, working jump seats.",2847,20.61,"Our Vintage Car models realistically portray automobiles produced from the early 1900s through the 1940s. Materials used include Bakelite, diecast, plastic and wood. Most of the replicas are in the 1:18 and 1:24 scale sizes, which provide the optimum in detail and accuracy. Prices range from $30.00 up to $180.00 for some special limited edition replicas. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office."
"Signal Gift Stores",Jean,King,7025551838,"8489 Strong St.",NULL,"Las Vegas",NV,83030,USA,2003-05-21,Shipped,S18_1749,21,153,"1917 Grand Touring Sedan","This 1:18 scale replica of the 1917 Grand Touring car has all the features you would expect from museum quality reproductions: all four doors and bi-fold hood opening, detailed engine and instrument panel, chrome-look trim, and tufted upholstery, all topped off with a factory baked-enamel finish.",2724,86.7,"Our Vintage Car models realistically portray automobiles produced from the early 1900s through the 1940s. Materials used include Bakelite, diecast, plastic and wood. Most of the replicas are in the 1:18 and 1:24 scale sizes, which provide the optimum in detail and accuracy. Prices range from $30.00 up to $180.00 for some special limited edition replicas. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office."
"Signal Gift Stores",Jean,King,7025551838,"8489 Strong St.",NULL,"Las Vegas",NV,83030,USA,2003-05-21,Shipped,S18_2248,42,58.12,"1911 Ford Town Car","Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system.",540,33.3,"Our Vintage Car models realistically portray automobiles produced from the early 1900s through the 1940s. Materials used include Bakelite, diecast, plastic and wood. Most of the replicas are in the 1:18 and 1:24 scale sizes, which provide the optimum in detail and accuracy. Prices range from $30.00 up to $180.00 for some special limited edition replicas. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office."
"Signal Gift Stores",Jean,King,7025551838,"8489 Strong St.",NULL,"Las Vegas",NV,83030,USA,2003-05-21,Shipped,S18_2325,42,111.87,"1932 Model A Ford J-Coupe","This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine",9354,58.48,"Our Vintage Car models realistically portray automobiles produced from the early 1900s through the 1940s. Materials used include Bakelite, diecast, plastic and wood. Most of the replicas are in the 1:18 and 1:24 scale sizes, which provide the optimum in detail and accuracy. Prices range from $30.00 up to $180.00 for some special limited edition replicas. All models include a certificate of authenticity from their manufacturers and come fully assembled and ready for display in the home or office."
